City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Lagoa,PT,73.96,few clouds,39.05,-27.9833,Casa Das Faias
12,Vaini,TO,75.36,scattered clouds,-21.2,-175.2,Keleti Beach Resort
15,Balangiga,PH,78.42,overcast clouds,11.1097,125.3875,Country Inn Bed and Breakfast
24,Kavieng,PG,81.55,light rain,-2.5744,150.7967,Nusa Island Retreat
27,Avarua,CK,73.45,broken clouds,-21.2078,-159.775,Paradise Inn
29,Erzin,TR,73.67,scattered clouds,36.9559,36.2,Artemis Otel
30,Puerto Ayora,EC,75.16,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
33,Butaritari,KI,81.0,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
34,Qena,EG,81.61,clear sky,26.1615,32.7183,"Grand hotel ""Quena"""
35,Vila Do Maio,CV,79.59,scattered clouds,15.1333,-23.2167,Hotel Marilu
36,Cayenne,GF,77.04,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
37,Rikitea,PF,73.15,clear sky,-23.1203,-134.9692,People ThankYou
39,Sibolga,ID,76.1,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
43,Mangan,IN,73.42,overcast clouds,27.5167,88.5333,Hotel Mout View
44,Johnson City,US,88.12,scattered clouds,36.3134,-82.3535,Hampton Inn Johnson City
47,Mackay,AU,72.68,broken clouds,-21.15,149.2,International Lodge Motel
49,San Quintin,MX,74.53,broken clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
54,Road Town,VG,87.89,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
58,Minudasht,IR,71.92,clear sky,37.2289,55.3747,هتل قصر
61,Georgetown,MY,78.73,scattered clouds,5.4112,100.3354,Cititel Penang
63,Portland,US,85.68,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
67,Meulaboh,ID,75.78,overcast clouds,4.1363,96.1285,Kost Pria
70,Kaduqli,SD,74.59,overcast clouds,11.0167,29.7167,Nussyba
71,San Cristobal,VE,78.98,broken clouds,7.7669,-72.225,Pirineos
76,Ternate,ID,79.9,moderate rain,0.8,127.4,Sahid Bela Ternate Hotel
78,Ribeira Grande,PT,75.6,few clouds,38.5167,-28.7,Quinta da Meia Eira
82,Rock Sound,BS,84.07,clear sky,24.9,-76.2,Pink Corral Bay Property
84,Kudat,MY,77.29,light rain,6.8837,116.8477,Dream Garden Hotel
87,Mahebourg,MU,71.26,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
88,Makakilo City,US,84.56,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
90,Kapaa,US,84.18,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
91,Ixtapa,MX,83.43,broken clouds,20.7,-105.2,hotel la terminal
99,Golden Gate,US,86.99,light rain,26.1879,-81.6951,Quality Inn & Suites Golf Resort
100,Atuona,PF,76.21,light rain,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
102,Cap Malheureux,MU,71.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
103,Tugdan,PH,79.27,overcast clouds,12.3134,122.0853,Monte Carlo Restaurant & Airport Pension House
107,Palmer,US,74.91,broken clouds,42.1584,-72.3287,Wedgewood Motel
108,Kerema,PG,77.99,scattered clouds,-7.9631,145.7785,Frena Lodge
109,Matara,LK,77.2,few clouds,5.9485,80.5353,Amaloh Boutique Resort
114,Andros Town,BS,84.78,clear sky,24.7,-77.7667,Hanks place
115,Manokwari,ID,77.4,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
118,Mandapam,IN,82.89,broken clouds,9.2833,79.1167,Tanvi Chachaa Chalet
121,Malakal,SS,73.72,overcast clouds,9.5334,31.6605,Nile Palace Hotel
125,Jamestown,US,75.02,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
128,Toledo,ES,78.31,clear sky,39.8333,-4.0,Hotel Carlos V Toledo
129,Namatanai,PG,77.95,moderate rain,-3.6667,152.4333,Seagulls Inn Namatani
130,Kloulklubed,PW,75.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
135,Arraial Do Cabo,BR,75.06,clear sky,-22.9661,-42.0278,Pousada Porto Praia
140,Morondava,MG,73.2,clear sky,-20.2833,44.2833,La Case Bambou
142,Las Matas De Farfan,DO,80.44,overcast clouds,18.8731,-71.5166,Breathless Resort
144,Atambua,ID,72.39,scattered clouds,-9.1061,124.8925,Kost Alfa Flat
145,Kapit,MY,70.84,light rain,2.0167,112.9333,Hotel Meligai Kapit
146,Touros,BR,76.8,few clouds,-5.1989,-35.4608,INN NEW HORIZON
148,Kieta,PG,79.02,light rain,-6.2167,155.6333,Uruna Bay Retreat
153,Hilo,US,84.27,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
154,Faanui,PF,77.86,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
159,Cabo San Lucas,MX,85.6,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
167,Mecca,SA,85.62,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
