City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Carnarvon,AU,-24.8667,113.6333,63.91,59,96,12.66,overcast clouds
1,Mataura,NZ,-46.1927,168.8643,46.47,97,99,0.72,overcast clouds
2,Hokitika,NZ,-42.7167,170.9667,53.55,75,80,3.15,broken clouds
3,Provideniya,RU,64.3833,-173.3,39.36,100,53,4.0,broken clouds
4,Lagoa,PT,39.05,-27.9833,73.96,82,18,5.77,few clouds
5,Port Alfred,ZA,-33.5906,26.891,58.62,75,10,9.31,clear sky
6,Chuy,UY,-33.6971,-53.4616,53.73,79,100,10.74,overcast clouds
7,Bluff,NZ,-46.6,168.3333,46.8,87,100,2.42,overcast clouds
8,Clyde River,CA,70.4692,-68.5914,32.23,86,75,5.75,snow
9,Cape Town,ZA,-33.9258,18.4232,64.38,67,0,9.22,clear sky
10,Leningradskiy,RU,69.3833,178.4167,33.1,75,6,13.67,clear sky
11,Ushuaia,AR,-54.8,-68.3,49.66,43,0,10.36,clear sky
12,Vaini,TO,-21.2,-175.2,75.36,88,40,9.22,scattered clouds
13,Xai-Xai,MZ,-25.0519,33.6442,67.06,95,100,14.12,moderate rain
14,Saint-Philippe,RE,-21.3585,55.7679,69.39,87,67,14.79,light rain
15,Balangiga,PH,11.1097,125.3875,78.42,86,100,1.5,overcast clouds
16,Busselton,AU,-33.65,115.3333,57.94,71,3,16.62,clear sky
17,Krasnoselkup,RU,65.7,82.4667,36.37,64,100,18.88,light rain
18,Nueve De Julio,AR,-35.4444,-60.8831,57.96,41,99,4.0,light rain
19,Mar Del Plata,AR,-38.0023,-57.5575,53.62,70,0,9.22,clear sky
20,Dikson,RU,73.5069,80.5464,30.42,72,100,19.55,overcast clouds
21,Tourlaville,FR,49.6383,-1.5664,51.22,87,0,2.3,clear sky
22,Shaunavon,CA,49.6501,-108.4181,53.38,46,50,18.37,scattered clouds
23,Ballina,AU,-28.8667,153.5667,62.02,99,100,7.29,light rain
